,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
40,Family,The Chainsmokers,World War Joy,2019-12-06,False,3TKpJrY9q49Mj1JOsM9zGL,spotify:track:3TKpJrY9q49Mj1JOsM9zGL,0.584,0.607,11,-6.605,1,0.0356,0.426,0.0,0.101,0.374,117.817,audio_features,3TKpJrY9q49Mj1JOsM9zGL,spotify:track:3TKpJrY9q49Mj1JOsM9zGL,https://api.spotify.com/v1/tracks/3TKpJrY9q49Mj1JOsM9zGL,https://api.spotify.com/v1/audio-analysis/3TKpJrY9q49Mj1JOsM9zGL,194827,4
41,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,2018-12-10,True,285pBltuF7vW8TeWk8hdRR,spotify:track:285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,audio_features,285pBltuF7vW8TeWk8hdRR,spotify:track:285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/tracks/285pBltuF7vW8TeWk8hdRR,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR,239836,4
42,Used To Love (with Dean Lewis),Martin Garrix,Used To Love (with Dean Lewis),2019-10-31,False,7pWK1kMgHy5lNNiIfuRbkP,spotify:track:7pWK1kMgHy5lNNiIfuRbkP,0.651,0.693,4,-4.722,1,0.0375,0.458,0.0,0.335,0.392,118.97,audio_features,7pWK1kMgHy5lNNiIfuRbkP,spotify:track:7pWK1kMgHy5lNNiIfuRbkP,https://api.spotify.com/v1/tracks/7pWK1kMgHy5lNNiIfuRbkP,https://api.spotify.com/v1/audio-analysis/7pWK1kMgHy5lNNiIfuRbkP,236765,4
43,Falling,Trevor Daniel,Falling,2018-10-05,False,4TnjEaWOeW0eKTKIEvJyCa,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,audio_features,4TnjEaWOeW0eKTKIEvJyCa,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/tracks/4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/audio-analysis/4TnjEaWOeW0eKTKIEvJyCa,159382,4
44,New Dior,DigDat,New Dior,2019-11-21,True,4aRRxKxJbvIEjXWXB0l3w7,spotify:track:4aRRxKxJbvIEjXWXB0l3w7,0.729,0.531,1,-9.568,0,0.371,0.459,0.0,0.0693,0.384,156.132,audio_features,4aRRxKxJbvIEjXWXB0l3w7,spotify:track:4aRRxKxJbvIEjXWXB0l3w7,https://api.spotify.com/v1/tracks/4aRRxKxJbvIEjXWXB0l3w7,https://api.spotify.com/v1/audio-analysis/4aRRxKxJbvIEjXWXB0l3w7,203128,4
45,Candy,Doja Cat,Amala,2018-03-30,True,1VJwtWR6z7SpZRwipI12be,spotify:track:1VJwtWR6z7SpZRwipI12be,0.689,0.516,8,-5.857,1,0.0444,0.513,0.0,0.163,0.209,124.876,audio_features,1VJwtWR6z7SpZRwipI12be,spotify:track:1VJwtWR6z7SpZRwipI12be,https://api.spotify.com/v1/tracks/1VJwtWR6z7SpZRwipI12be,https://api.spotify.com/v1/audio-analysis/1VJwtWR6z7SpZRwipI12be,190920,4
46,Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),2019-10-09,True,24Yi9hE78yPEbZ4kxyoXAI,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0105,0.353,0.898,121.974,audio_features,24Yi9hE78yPEbZ4kxyoXAI,spotify:track:24Yi9hE78yPEbZ4kxyoXAI,https://api.spotify.com/v1/tracks/24Yi9hE78yPEbZ4kxyoXAI,https://api.spotify.com/v1/audio-analysis/24Yi9hE78yPEbZ4kxyoXAI,176840,4
47,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,JACKBOYS,2019-12-27,True,7h0d2h0fUmzbs7zeFigJPn,spotify:track:7h0d2h0fUmzbs7zeFigJPn,0.621,0.484,2,-7.033,0,0.0333,0.0276,1.11e-06,0.111,0.159,76.532,audio_features,7h0d2h0fUmzbs7zeFigJPn,spotify:track:7h0d2h0fUmzbs7zeFigJPn,https://api.spotify.com/v1/tracks/7h0d2h0fUmzbs7zeFigJPn,https://api.spotify.com/v1/audio-analysis/7h0d2h0fUmzbs7zeFigJPn,244874,4
48,SUGAR,BROCKHAMPTON,GINGER,2019-08-23,True,6U0FIYXCQ3TGrk4tFpLrEA,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,0.453,0.538,1,-8.212,1,0.0638,0.449,0.0,0.19,0.516,122.973,audio_features,6U0FIYXCQ3TGrk4tFpLrEA,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA,https://api.spotify.com/v1/tracks/6U0FIYXCQ3TGrk4tFpLrEA,https://api.spotify.com/v1/audio-analysis/6U0FIYXCQ3TGrk4tFpLrEA,204533,4
49,December,Bugzy Malone,December,2019-12-06,True,2n3NxSENFUdVRer1OcKeeZ,spotify:track:2n3NxSENFUdVRer1OcKeeZ,0.577,0.656,4,-7.618,0,0.329,0.445,0.0,0.178,0.118,139.642,audio_features,2n3NxSENFUdVRer1OcKeeZ,spotify:track:2n3NxSENFUdVRer1OcKeeZ,https://api.spotify.com/v1/tracks/2n3NxSENFUdVRer1OcKeeZ,https://api.spotify.com/v1/audio-analysis/2n3NxSENFUdVRer1OcKeeZ,262915,4
