Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Waiting In The Park	Chantells		Lovers Vol 1						Lovers Rock	6030067	374			19		1977	17/09/2018, 23:35	17/09/2018, 22:38	128	44100		MPEG audio file					1	17/09/2018, 23:35		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Chantells:Lovers Vol 1:19 Waiting In The Park.mp3
Open Up The Door	Charisma		Lovers Vol 1						Lovers Rock	3372599	209			6		1982	17/09/2018, 23:35	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Charisma:Lovers Vol 1:06 Open Up The Door.mp3
Something About You	Charisma		Lovers Vol 1						Lovers Rock	3803473	236			7			16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Charisma:Lovers Vol 1:07 Something About You.mp3
Searching 	China Black		Lovers Vol 1						Lovers Rock	3937262	245			8			17/09/2018, 23:33	17/09/2018, 22:38	128	44100		MPEG audio file					1	17/09/2018, 23:33		MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:China Black:Lovers Vol 1:08 Searching.mp3
Everybody Plays A Fool	Chosen Few		Lovers Vol 1						Lovers Rock	3182051	197			5		1972	17/09/2018, 23:30	17/09/2018, 22:38	128	44100		MPEG audio file			1	17/09/2018, 22:45				MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Chosen Few:Lovers Vol 1:05 Everybody Plays A Fool.mp3
Love Between Boy & Girl	Chosen Few		Lovers Vol 1						Lovers Rock	4006141	248			6		1980	16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Chosen Few:Lovers Vol 1:06 Love Between Boy & Girl.mp3
Queen Majesty	Chosen Few		Lovers Vol 1						Lovers Rock	3248089	201			7		1975	17/09/2018, 23:29	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Chosen Few:Lovers Vol 1:07 Queen Majesty.mp3
Party Tonite	Chosen Ones		Lovers Vol 1						Lovers Rock	2240515	139			3		1978	17/09/2018, 23:30	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Chosen Ones:Lovers Vol 1:03 Party Tonite.mp3
Natural High	Claudia Fontaine		Lovers Vol 1						Lovers Rock	6424579	398			9		1981	17/09/2018, 23:30	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Claudia Fontaine:Lovers Vol 1:09 Natural High.mp3
My Tune	Cool Notes		Lovers Vol 1						Lovers Rock	6549130	406			10			16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Cool Notes:Lovers Vol 1:10 My Tune.mp3
Sad Movies	Cynthia Schloss		Lovers Vol 1						Lovers Rock	5570688	348			1			16/01/2011, 00:48	17/09/2018, 22:38	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Cynthia Schloss:Lovers Vol 1:01 Sad Movies.mp3
Swing & Dine	David Miller		Lovers Vol 1						Lovers Rock	4164130	258			12		1983	16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:David Miller:Lovers Vol 1:12 Swing & Dine.mp3
Girlfriend	Dean Fraiser		Lovers Vol 1						Lovers Rock	3639633	225			2		1988	16/01/2011, 00:48	17/09/2018, 22:41	128	44100		MPEG audio file								MacOS:Users:macbookair:Music:iTunes:iTunes Media:Music:Dean Fraiser:Lovers Vol 1:02 Girlfriend.mp3
