,Unnamed: 0,track_name,artist,album,release_date,explicit,track_id,track_uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2Xqm0jHnkvjzrkkVRInzUB,567,I Don't Care (with Justin Bieber) - Chronixx & Koffee Remix,Ed Sheeran,I Don't Care (with Justin Bieber) [Chronixx & Koffee Remix],2019-06-25,False,2Xqm0jHnkvjzrkkVRInzUB,spotify:track:2Xqm0jHnkvjzrkkVRInzUB,dancehall,0.759,0.688,6,-4.413,1,0.0801,0.347,0.0,0.11,0.812,101.902,audio_features,2Xqm0jHnkvjzrkkVRInzUB,spotify:track:2Xqm0jHnkvjzrkkVRInzUB,https://api.spotify.com/v1/tracks/2Xqm0jHnkvjzrkkVRInzUB,https://api.spotify.com/v1/audio-analysis/2Xqm0jHnkvjzrkkVRInzUB,218373,4
2Xs5zm3elltOQJBJzQ4mbw,957,Crazy,Rohan da Great,Crazy,2019-02-01,False,2Xs5zm3elltOQJBJzQ4mbw,spotify:track:2Xs5zm3elltOQJBJzQ4mbw,dancehall,0.707,0.591,0,-9.245,1,0.0678,0.0727,0.0,0.094,0.317,95.002,audio_features,2Xs5zm3elltOQJBJzQ4mbw,spotify:track:2Xs5zm3elltOQJBJzQ4mbw,https://api.spotify.com/v1/tracks/2Xs5zm3elltOQJBJzQ4mbw,https://api.spotify.com/v1/audio-analysis/2Xs5zm3elltOQJBJzQ4mbw,187206,4
2YI6Xw8d7iRio4wWZYqp4q,1581,Fall In Love,Popcaan,Work Permit Riddim,2014-05-20,True,2YI6Xw8d7iRio4wWZYqp4q,spotify:track:2YI6Xw8d7iRio4wWZYqp4q,dancehall,0.546,0.709,9,-7.932,1,0.313,0.133,0.0,0.115,0.501,84.746,audio_features,2YI6Xw8d7iRio4wWZYqp4q,spotify:track:2YI6Xw8d7iRio4wWZYqp4q,https://api.spotify.com/v1/tracks/2YI6Xw8d7iRio4wWZYqp4q,https://api.spotify.com/v1/audio-analysis/2YI6Xw8d7iRio4wWZYqp4q,185400,4
2YpOxqygjDwLVVKtqaxVfI,1425,Infatuation,Beenie Man,Work Permit Riddim,2014-05-20,False,2YpOxqygjDwLVVKtqaxVfI,spotify:track:2YpOxqygjDwLVVKtqaxVfI,dancehall,0.345,0.707,9,-7.814,1,0.305,0.0885,0.0,0.262,0.433,169.741,audio_features,2YpOxqygjDwLVVKtqaxVfI,spotify:track:2YpOxqygjDwLVVKtqaxVfI,https://api.spotify.com/v1/tracks/2YpOxqygjDwLVVKtqaxVfI,https://api.spotify.com/v1/audio-analysis/2YpOxqygjDwLVVKtqaxVfI,182187,4
2ZMe7H394Jmg4G12stlecj,38,Heaven,Masicka,Feenin Riddim,2014-02-04,True,2ZMe7H394Jmg4G12stlecj,spotify:track:2ZMe7H394Jmg4G12stlecj,dancehall,0.7,0.527,4,-7.007,0,0.49,0.142,0.0,0.144,0.52,67.619,audio_features,2ZMe7H394Jmg4G12stlecj,spotify:track:2ZMe7H394Jmg4G12stlecj,https://api.spotify.com/v1/tracks/2ZMe7H394Jmg4G12stlecj,https://api.spotify.com/v1/audio-analysis/2ZMe7H394Jmg4G12stlecj,160007,3
2ZPZwseYSQr1iC2l9LwR7U,100,Gyal Bruk Out,Alkaline,Alkaline Mix Tape Extended,2014-07-30,False,2ZPZwseYSQr1iC2l9LwR7U,spotify:track:2ZPZwseYSQr1iC2l9LwR7U,dancehall,0.671,0.742,7,-3.409,0,0.319,0.277,0.0,0.214,0.757,180.367,audio_features,2ZPZwseYSQr1iC2l9LwR7U,spotify:track:2ZPZwseYSQr1iC2l9LwR7U,https://api.spotify.com/v1/tracks/2ZPZwseYSQr1iC2l9LwR7U,https://api.spotify.com/v1/audio-analysis/2ZPZwseYSQr1iC2l9LwR7U,161042,4
2ZUxiVxKeL70ND15PpelL2,1433,Whine Up - Raw,Popcaan,Bad Behavior Riddim,2012-06-15,False,2ZUxiVxKeL70ND15PpelL2,spotify:track:2ZUxiVxKeL70ND15PpelL2,dancehall,0.72,0.666,7,-4.129,1,0.376,0.0846,0.0,0.0883,0.517,116.991,audio_features,2ZUxiVxKeL70ND15PpelL2,spotify:track:2ZUxiVxKeL70ND15PpelL2,https://api.spotify.com/v1/tracks/2ZUxiVxKeL70ND15PpelL2,https://api.spotify.com/v1/audio-analysis/2ZUxiVxKeL70ND15PpelL2,211749,5
2ZW0A9cFELkFsCT5UkWjkG,1219,Destiny,Buju Banton,Inna Heights,1997,False,2ZW0A9cFELkFsCT5UkWjkG,spotify:track:2ZW0A9cFELkFsCT5UkWjkG,dancehall,0.82,0.683,4,-7.686,1,0.0613,0.0231,0.0,0.217,0.795,134.916,audio_features,2ZW0A9cFELkFsCT5UkWjkG,spotify:track:2ZW0A9cFELkFsCT5UkWjkG,https://api.spotify.com/v1/tracks/2ZW0A9cFELkFsCT5UkWjkG,https://api.spotify.com/v1/audio-analysis/2ZW0A9cFELkFsCT5UkWjkG,238267,4
2ZWnbl9QQELai4oaHGAzsM,1373,Beautiful Lady,Gyptian,"Reggae Hits, Vol. 36",2006-01-01,False,2ZWnbl9QQELai4oaHGAzsM,spotify:track:2ZWnbl9QQELai4oaHGAzsM,dancehall,0.518,0.652,1,-5.208,1,0.0461,0.499,0.0,0.134,0.728,82.483,audio_features,2ZWnbl9QQELai4oaHGAzsM,spotify:track:2ZWnbl9QQELai4oaHGAzsM,https://api.spotify.com/v1/tracks/2ZWnbl9QQELai4oaHGAzsM,https://api.spotify.com/v1/audio-analysis/2ZWnbl9QQELai4oaHGAzsM,204413,4
2ZWnlHvXftZCMRQxGv9c1r,747,Do Sum'n,Konshens,Reggae Gold 2012,2012-06-25,False,2ZWnlHvXftZCMRQxGv9c1r,spotify:track:2ZWnlHvXftZCMRQxGv9c1r,dancehall,0.686,0.667,8,-5.608,1,0.378,0.024,0.000909,0.0385,0.839,133.071,audio_features,2ZWnlHvXftZCMRQxGv9c1r,spotify:track:2ZWnlHvXftZCMRQxGv9c1r,https://api.spotify.com/v1/tracks/2ZWnlHvXftZCMRQxGv9c1r,https://api.spotify.com/v1/audio-analysis/2ZWnlHvXftZCMRQxGv9c1r,218653,5
