acousticness,danceability,duration_ms,energy,explicit,genre,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_id,valence,year
0.149,0.8440000000000001,267080.0,0.597,0,1,0.0,1,0.4320000000000001,-7.065,0,0.08800000000000001,121.951,2,0PwF0jqoMRZdfKVrackfvG,0.911,2005
0.0803,0.664,472013.0,0.727,0,1,0.000253,0,0.38,-8.738,1,0.263,77.92,2,0QG0nkwG1yOGw58xYSs2r0,0.527,2008
0.0178,0.8420000000000001,311293.0,0.562,0,1,0.0263,4,0.0798,-10.911,0,0.0995,131.28799999999998,2,0Qb8jMMKrJiq21YnT6EfeZ,0.725,1980
0.0201,0.835,236093.0,0.609,0,1,1.28e-06,9,0.107,-5.636,1,0.0336,130.154,2,0QkWubamAKEvvcOTriSKX3,0.7809999999999999,2010
0.262,0.8759999999999999,283973.0,0.7190000000000001,0,1,2.6e-06,10,0.302,-6.8020000000000005,0,0.173,88.307,2,0Qx5vFgoZenyfne9uTqX8G,0.963,2010
0.173,0.635,226650.0,0.777,0,1,0.0,6,0.181,-6.57,1,0.337,90.25,2,0RRJQRHPiSmvFoDmIAZrej,0.748,2016
0.194,0.812,228693.0,0.331,0,1,0.73,9,0.51,-8.245,1,0.0694,122.734,2,0SbMyUH5NHjA2KzdXWWAGE,0.4370000000000001,1976
0.119,0.797,230000.0,0.435,0,1,1.21e-05,5,0.0582,-7.976,0,0.112,71.715,2,0Sql4biXLMHMyS292x9ZL0,0.509,2008
0.0205,0.878,232693.0,0.508,0,1,0.0,2,0.0874,-8.687999999999999,1,0.118,101.959,2,0Sw7DV9mRPi1nqVJvQg4n4,0.653,2007
0.274,0.703,256067.0,0.438,0,1,4.42e-05,6,0.0759,-14.748,0,0.0579,140.3,2,0TF5rtQ4zLh9SfdPfE7CS6,0.86,1982
0.3,0.7829999999999999,233840.0,0.632,0,1,0.00456,7,0.16,-9.726,0,0.0997,154.566,2,0TQ5nIVC1ILlBnbUl0x2bR,0.895,1976
0.206,0.767,304400.0,0.657,0,1,5.6299999999999986e-05,4,0.149,-6.422999999999999,1,0.11,75.743,2,0TSfsK1GZoODR5N3IRZnxB,0.974,1987
0.101,0.7120000000000001,169760.0,0.315,0,1,0.00507,10,0.339,-16.102,1,0.194,140.696,2,0TgUwCQqlMtRU0uTkeG2uS,0.759,1976
0.0607,0.728,156587.0,0.56,0,1,0.627,2,0.265,-12.633,1,0.0394,89.98700000000002,2,0Vi4PFGwGEOZaub8NjIx4L,0.452,2012
0.0595,0.774,242333.0,0.531,0,1,0.0,11,0.0409,-7.176,0,0.0446,142.001,2,0VtyhpjhYWkn7UOSX6If6e,0.966,1980
0.247,0.7929999999999999,223587.0,0.417,0,1,0.0,10,0.0596,-8.514,1,0.0675,93.399,2,0Vu4EdO1IN1xr5Gi0aKnmc,0.828,2007
0.787,0.782,197773.0,0.625,0,1,0.0155,2,0.0817,-8.967,0,0.184,143.961,2,0WQeNNbohEXPE509tleYxI,0.913,2014
0.0621,0.736,190440.0,0.539,0,1,0.0312,1,0.12,-8.316,1,0.0936,147.73,2,0XDFYnvZANTULQxWofURlH,0.765,2006
0.102,0.604,221850.0,0.858,0,1,9.29e-05,5,0.202,-5.899,0,0.0401,157.911,2,0XLfodQezxo30w42RGwE8o,0.92,2017
