,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
105,Even If,FOZSA,Even If,2019-06-14,False,1miYSkjPeyoBTHLS7BMmtd,spotify:track:1miYSkjPeyoBTHLS7BMmtd,0.798,0.576,1,-9.627,0,0.13,0.014,4.03e-05,0.321,0.416,94.024,audio_features,1miYSkjPeyoBTHLS7BMmtd,spotify:track:1miYSkjPeyoBTHLS7BMmtd,https://api.spotify.com/v1/tracks/1miYSkjPeyoBTHLS7BMmtd,https://api.spotify.com/v1/audio-analysis/1miYSkjPeyoBTHLS7BMmtd,206313,4
106,City In Lights,Africa Express,EGOLI,2019-07-12,False,6nBah3NB7KQrcqWJxisVyQ,spotify:track:6nBah3NB7KQrcqWJxisVyQ,0.702,0.748,0,-9.763,0,0.0499,0.0591,0.00314,0.102,0.714,128.042,audio_features,6nBah3NB7KQrcqWJxisVyQ,spotify:track:6nBah3NB7KQrcqWJxisVyQ,https://api.spotify.com/v1/tracks/6nBah3NB7KQrcqWJxisVyQ,https://api.spotify.com/v1/audio-analysis/6nBah3NB7KQrcqWJxisVyQ,241013,4
107,Tell Me (Doko Mien),Ibibio Sound Machine,Doko Mien,2019-03-22,False,3zjDTMFMyFSb52I79TG5H0,spotify:track:3zjDTMFMyFSb52I79TG5H0,0.533,0.83,7,-6.18,0,0.129,0.123,0.0275,0.0512,0.812,63.155,audio_features,3zjDTMFMyFSb52I79TG5H0,spotify:track:3zjDTMFMyFSb52I79TG5H0,https://api.spotify.com/v1/tracks/3zjDTMFMyFSb52I79TG5H0,https://api.spotify.com/v1/audio-analysis/3zjDTMFMyFSb52I79TG5H0,224547,4
108,Song for Olivia,Skream,Song for Olivia,2019-08-30,False,3G69N93wUnXpTOuoo2pJT1,spotify:track:3G69N93wUnXpTOuoo2pJT1,0.551,0.931,0,-4.586,0,0.0342,1.11e-05,0.911,0.0299,0.81,123.995,audio_features,3G69N93wUnXpTOuoo2pJT1,spotify:track:3G69N93wUnXpTOuoo2pJT1,https://api.spotify.com/v1/tracks/3G69N93wUnXpTOuoo2pJT1,https://api.spotify.com/v1/audio-analysis/3G69N93wUnXpTOuoo2pJT1,349856,4
109,Tongue Kissing,Little Dragon,Tongue Kissing,2019-10-22,True,1hbtMHGZeocCSEdQkTzA2C,spotify:track:1hbtMHGZeocCSEdQkTzA2C,0.857,0.538,0,-9.696,0,0.0523,0.162,0.017,0.437,0.748,112.973,audio_features,1hbtMHGZeocCSEdQkTzA2C,spotify:track:1hbtMHGZeocCSEdQkTzA2C,https://api.spotify.com/v1/tracks/1hbtMHGZeocCSEdQkTzA2C,https://api.spotify.com/v1/audio-analysis/1hbtMHGZeocCSEdQkTzA2C,262200,4
110,trash in bed,POLIÇA,Driving,2019-10-09,False,6e7Awh0VUNBPdJPGDveqGM,spotify:track:6e7Awh0VUNBPdJPGDveqGM,0.678,0.762,5,-8.78,0,0.0539,0.0271,0.0202,0.0732,0.58,126.979,audio_features,6e7Awh0VUNBPdJPGDveqGM,spotify:track:6e7Awh0VUNBPdJPGDveqGM,https://api.spotify.com/v1/tracks/6e7Awh0VUNBPdJPGDveqGM,https://api.spotify.com/v1/audio-analysis/6e7Awh0VUNBPdJPGDveqGM,273071,4
111,All That Blue,Blue Hawaii,All That Blue,2019-08-22,False,5ANqP41Jrh33CveJriEKoy,spotify:track:5ANqP41Jrh33CveJriEKoy,0.837,0.558,11,-11.494,0,0.111,0.00239,0.885,0.0854,0.79,123.992,audio_features,5ANqP41Jrh33CveJriEKoy,spotify:track:5ANqP41Jrh33CveJriEKoy,https://api.spotify.com/v1/tracks/5ANqP41Jrh33CveJriEKoy,https://api.spotify.com/v1/audio-analysis/5ANqP41Jrh33CveJriEKoy,333997,3
112,Twilight Highway,Dande and the Lion,Twilight Highway,2019-08-02,False,6GRzqlKrrRf6zkrj7NPm8M,spotify:track:6GRzqlKrrRf6zkrj7NPm8M,0.66,0.854,5,-3.524,0,0.0326,0.00511,1.47e-06,0.462,0.708,130.063,audio_features,6GRzqlKrrRf6zkrj7NPm8M,spotify:track:6GRzqlKrrRf6zkrj7NPm8M,https://api.spotify.com/v1/tracks/6GRzqlKrrRf6zkrj7NPm8M,https://api.spotify.com/v1/audio-analysis/6GRzqlKrrRf6zkrj7NPm8M,192051,4
113,Interstellar Disco,Oscar Scheller,Interstellar Disco,2019-05-22,False,6K2oHIw3c3UtuQKCCcyKPm,spotify:track:6K2oHIw3c3UtuQKCCcyKPm,0.778,0.508,8,-6.219,1,0.0722,0.257,2.22e-06,0.119,0.477,117.963,audio_features,6K2oHIw3c3UtuQKCCcyKPm,spotify:track:6K2oHIw3c3UtuQKCCcyKPm,https://api.spotify.com/v1/tracks/6K2oHIw3c3UtuQKCCcyKPm,https://api.spotify.com/v1/audio-analysis/6K2oHIw3c3UtuQKCCcyKPm,221545,4
114,Teeth - Extended Mix,Working Men's Club,Teeth,2019-08-23,False,2jCH2Dmf2EeX4DPy31Wdrd,spotify:track:2jCH2Dmf2EeX4DPy31Wdrd,0.677,0.602,2,-8.165,1,0.0875,0.0117,0.806,0.0418,0.687,121.999,audio_features,2jCH2Dmf2EeX4DPy31Wdrd,spotify:track:2jCH2Dmf2EeX4DPy31Wdrd,https://api.spotify.com/v1/tracks/2jCH2Dmf2EeX4DPy31Wdrd,https://api.spotify.com/v1/audio-analysis/2jCH2Dmf2EeX4DPy31Wdrd,346382,4
