,track_name,track_id,track_uri,artist,album_name,album_id,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
226,You're Beautiful,2I0i1ggR5aWgpuiwmg0g1R,spotify:track:2I0i1ggR5aWgpuiwmg0g1R,Roger Robin,Justice,02fACGaXmjN5YvRFFP9cMX,spotify:album:02fACGaXmjN5YvRFFP9cMX,0.679,0.671,0,-3.426,0,0.0567,0.111,0.0,0.122,0.691,170.699,audio_features,2I0i1ggR5aWgpuiwmg0g1R,spotify:track:2I0i1ggR5aWgpuiwmg0g1R,https://api.spotify.com/v1/tracks/2I0i1ggR5aWgpuiwmg0g1R,https://api.spotify.com/v1/audio-analysis/2I0i1ggR5aWgpuiwmg0g1R,187933,4
227,Brand New Crisis,45Jea4NaKbTsvK76u6swFL,spotify:track:45Jea4NaKbTsvK76u6swFL,Roger Robin,Chi Chi Bud,0BfVicN4W6xrrGped7wXZI,spotify:album:0BfVicN4W6xrrGped7wXZI,0.851,0.485,1,-6.298,0,0.138,0.0544,3.71e-06,0.0323,0.654,81.045,audio_features,45Jea4NaKbTsvK76u6swFL,spotify:track:45Jea4NaKbTsvK76u6swFL,https://api.spotify.com/v1/tracks/45Jea4NaKbTsvK76u6swFL,https://api.spotify.com/v1/audio-analysis/45Jea4NaKbTsvK76u6swFL,212227,4
228,Le reel des chutes,1qMUkG8Cot7HeEMvlIPF9G,spotify:track:1qMUkG8Cot7HeEMvlIPF9G,Roger Robin,Folklore en fête (50 succès du temps des fêtes),6qKgGwwZI7sFdaLGxxOrtO,spotify:album:6qKgGwwZI7sFdaLGxxOrtO,0.632,0.916,1,-4.238,1,0.0496,0.25,0.952,0.298,0.97,120.486,audio_features,1qMUkG8Cot7HeEMvlIPF9G,spotify:track:1qMUkG8Cot7HeEMvlIPF9G,https://api.spotify.com/v1/tracks/1qMUkG8Cot7HeEMvlIPF9G,https://api.spotify.com/v1/audio-analysis/1qMUkG8Cot7HeEMvlIPF9G,171000,4
229,Love Can Take U Higher,5Z4ll39VYZiV6MVqnRW67j,spotify:track:5Z4ll39VYZiV6MVqnRW67j,Roger Robin,Best Of Sweet Love,1M8RfGaYi08Zr9uBp3QrT9,spotify:album:1M8RfGaYi08Zr9uBp3QrT9,0.681,0.454,9,-6.648,1,0.0381,0.491,0.0,0.159,0.558,76.821,audio_features,5Z4ll39VYZiV6MVqnRW67j,spotify:track:5Z4ll39VYZiV6MVqnRW67j,https://api.spotify.com/v1/tracks/5Z4ll39VYZiV6MVqnRW67j,https://api.spotify.com/v1/audio-analysis/5Z4ll39VYZiV6MVqnRW67j,209667,4
230,Rise Again,6We8piEAJ5SVx4WXHDJNgM,spotify:track:6We8piEAJ5SVx4WXHDJNgM,Roger Robin,Take It Slow,70CVo36Amr25kFdgFaBZMD,spotify:album:70CVo36Amr25kFdgFaBZMD,0.748,0.441,7,-10.051,1,0.0678,0.0149,6.53e-05,0.0814,0.428,83.153,audio_features,6We8piEAJ5SVx4WXHDJNgM,spotify:track:6We8piEAJ5SVx4WXHDJNgM,https://api.spotify.com/v1/tracks/6We8piEAJ5SVx4WXHDJNgM,https://api.spotify.com/v1/audio-analysis/6We8piEAJ5SVx4WXHDJNgM,218173,4
231,Take It Slow,7vEmw2XfZoGWm3G7oqfHuf,spotify:track:7vEmw2XfZoGWm3G7oqfHuf,Roger Robin,Take It Slow,70CVo36Amr25kFdgFaBZMD,spotify:album:70CVo36Amr25kFdgFaBZMD,0.789,0.434,10,-6.983,0,0.145,0.257,0.0,0.0768,0.572,78.887,audio_features,7vEmw2XfZoGWm3G7oqfHuf,spotify:track:7vEmw2XfZoGWm3G7oqfHuf,https://api.spotify.com/v1/tracks/7vEmw2XfZoGWm3G7oqfHuf,https://api.spotify.com/v1/audio-analysis/7vEmw2XfZoGWm3G7oqfHuf,169613,4
232,La galope de la Malbaie,3OE0738Z7j37gkhfI7FDX7,spotify:track:3OE0738Z7j37gkhfI7FDX7,Roger Robin,20 grands folkloristes Vol.2,1l2DwvdV5lzDvxFWKT3i7W,spotify:album:1l2DwvdV5lzDvxFWKT3i7W,0.695,0.819,8,-12.95,1,0.0384,0.467,0.888,0.0308,0.986,119.531,audio_features,3OE0738Z7j37gkhfI7FDX7,spotify:track:3OE0738Z7j37gkhfI7FDX7,https://api.spotify.com/v1/tracks/3OE0738Z7j37gkhfI7FDX7,https://api.spotify.com/v1/audio-analysis/3OE0738Z7j37gkhfI7FDX7,174667,4
233,Hard To Say I'm Sorry,3fMRhYGVuWNpseSIDp5stN,spotify:track:3fMRhYGVuWNpseSIDp5stN,Roger Robin,R & B Hits Reggae Style Vol. 4,1YPDYEhpxzdUEpRLxbXpQS,spotify:album:1YPDYEhpxzdUEpRLxbXpQS,0.853,0.445,8,-7.548,1,0.0547,0.28,0.0,0.116,0.926,149.948,audio_features,3fMRhYGVuWNpseSIDp5stN,spotify:track:3fMRhYGVuWNpseSIDp5stN,https://api.spotify.com/v1/tracks/3fMRhYGVuWNpseSIDp5stN,https://api.spotify.com/v1/audio-analysis/3fMRhYGVuWNpseSIDp5stN,209720,4
234,You Know How to Make Me Feel Good,7yvRWS7Lfp3dcNPQCEbXjz,spotify:track:7yvRWS7Lfp3dcNPQCEbXjz,Ruddy Thomas,Trojan Presents: Lovers Rock,5MmaLKhh7wxANhw3KplmzA,spotify:album:5MmaLKhh7wxANhw3KplmzA,0.717,0.641,11,-6.603,0,0.074,0.0343,8.45e-05,0.0598,0.487,87.017,audio_features,7yvRWS7Lfp3dcNPQCEbXjz,spotify:track:7yvRWS7Lfp3dcNPQCEbXjz,https://api.spotify.com/v1/tracks/7yvRWS7Lfp3dcNPQCEbXjz,https://api.spotify.com/v1/audio-analysis/7yvRWS7Lfp3dcNPQCEbXjz,219840,4
235,Loving Pauper,0P77fBm2mSRWK4Z2KhI4xn,spotify:track:0P77fBm2mSRWK4Z2KhI4xn,Ruddy Thomas,Trojan Presents: Lovers Rock,5MmaLKhh7wxANhw3KplmzA,spotify:album:5MmaLKhh7wxANhw3KplmzA,0.82,0.537,6,-9.161,0,0.265,0.00235,0.00349,0.106,0.721,80.786,audio_features,0P77fBm2mSRWK4Z2KhI4xn,spotify:track:0P77fBm2mSRWK4Z2KhI4xn,https://api.spotify.com/v1/tracks/0P77fBm2mSRWK4Z2KhI4xn,https://api.spotify.com/v1/audio-analysis/0P77fBm2mSRWK4Z2KhI4xn,298267,4
