,track_name,artist,album,release_date,explicit,track_id,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
05MzP2SKLFi8xDnlTxJPk8,Ghetto Paradise,Chronixx,Chronology,2017-07-07,False,05MzP2SKLFi8xDnlTxJPk8,spotify:track:05MzP2SKLFi8xDnlTxJPk8,0.693,0.689,5,-5.929,0,0.216,0.078,0.0,0.105,0.57,175.957,audio_features,05MzP2SKLFi8xDnlTxJPk8,spotify:track:05MzP2SKLFi8xDnlTxJPk8,https://api.spotify.com/v1/tracks/05MzP2SKLFi8xDnlTxJPk8,https://api.spotify.com/v1/audio-analysis/05MzP2SKLFi8xDnlTxJPk8,226960,4,reggae
05pKNQGaN3xA8jbyibUrlZ,Back To Africa,Aswad,Aswad,1976-01-01,False,05pKNQGaN3xA8jbyibUrlZ,spotify:track:05pKNQGaN3xA8jbyibUrlZ,0.794,0.156,9,-18.988,0,0.432,0.473,0.799,0.0886,0.719,127.43,audio_features,05pKNQGaN3xA8jbyibUrlZ,spotify:track:05pKNQGaN3xA8jbyibUrlZ,https://api.spotify.com/v1/tracks/05pKNQGaN3xA8jbyibUrlZ,https://api.spotify.com/v1/audio-analysis/05pKNQGaN3xA8jbyibUrlZ,336773,4,reggae
05pKNQGaN3xA8jbyibUrlZ,Back To Africa,Aswad,Aswad,1976-01-01,False,05pKNQGaN3xA8jbyibUrlZ,spotify:track:05pKNQGaN3xA8jbyibUrlZ,0.794,0.156,9,-18.988,0,0.432,0.473,0.799,0.0886,0.719,127.43,audio_features,05pKNQGaN3xA8jbyibUrlZ,spotify:track:05pKNQGaN3xA8jbyibUrlZ,https://api.spotify.com/v1/tracks/05pKNQGaN3xA8jbyibUrlZ,https://api.spotify.com/v1/audio-analysis/05pKNQGaN3xA8jbyibUrlZ,336773,4,reggae
05pKNQGaN3xA8jbyibUrlZ,Back To Africa,Aswad,Aswad,1976-01-01,False,05pKNQGaN3xA8jbyibUrlZ,spotify:track:05pKNQGaN3xA8jbyibUrlZ,0.794,0.156,9,-18.988,0,0.432,0.473,0.799,0.0886,0.719,127.43,audio_features,05pKNQGaN3xA8jbyibUrlZ,spotify:track:05pKNQGaN3xA8jbyibUrlZ,https://api.spotify.com/v1/tracks/05pKNQGaN3xA8jbyibUrlZ,https://api.spotify.com/v1/audio-analysis/05pKNQGaN3xA8jbyibUrlZ,336773,4,reggae
05pKNQGaN3xA8jbyibUrlZ,Back To Africa,Aswad,Aswad,1976-01-01,False,05pKNQGaN3xA8jbyibUrlZ,spotify:track:05pKNQGaN3xA8jbyibUrlZ,0.794,0.156,9,-18.988,0,0.432,0.473,0.799,0.0886,0.719,127.43,audio_features,05pKNQGaN3xA8jbyibUrlZ,spotify:track:05pKNQGaN3xA8jbyibUrlZ,https://api.spotify.com/v1/tracks/05pKNQGaN3xA8jbyibUrlZ,https://api.spotify.com/v1/audio-analysis/05pKNQGaN3xA8jbyibUrlZ,336773,4,reggae
069XwdkglfN94CvwUZvBxv,Cool Down The Pace,Gregory Isaacs,Night Nurse,1982,False,069XwdkglfN94CvwUZvBxv,spotify:track:069XwdkglfN94CvwUZvBxv,0.87,0.266,10,-15.559,1,0.264,0.0887,0.0217,0.0709,0.929,76.37,audio_features,069XwdkglfN94CvwUZvBxv,spotify:track:069XwdkglfN94CvwUZvBxv,https://api.spotify.com/v1/tracks/069XwdkglfN94CvwUZvBxv,https://api.spotify.com/v1/audio-analysis/069XwdkglfN94CvwUZvBxv,315027,4,reggae
06GJPwxMNidwUd2kObwBlr,Chalice Load,Julian Marley,As I Am,2019-01-25,False,06GJPwxMNidwUd2kObwBlr,spotify:track:06GJPwxMNidwUd2kObwBlr,0.737,0.916,0,-4.885,1,0.0477,0.218,0.00636,0.153,0.926,98.014,audio_features,06GJPwxMNidwUd2kObwBlr,spotify:track:06GJPwxMNidwUd2kObwBlr,https://api.spotify.com/v1/tracks/06GJPwxMNidwUd2kObwBlr,https://api.spotify.com/v1/audio-analysis/06GJPwxMNidwUd2kObwBlr,230152,4,reggae
06yfl0iZ4xu2AwV6sQH7eq,No Justice For The Poor,King Tubby,King Tubby Meets The Upsetter At The Grass Roots Of Dub,2012-11-16,False,06yfl0iZ4xu2AwV6sQH7eq,spotify:track:06yfl0iZ4xu2AwV6sQH7eq,0.809,0.265,2,-18.475,1,0.143,0.000131,0.93,0.0854,0.901,69.426,audio_features,06yfl0iZ4xu2AwV6sQH7eq,spotify:track:06yfl0iZ4xu2AwV6sQH7eq,https://api.spotify.com/v1/tracks/06yfl0iZ4xu2AwV6sQH7eq,https://api.spotify.com/v1/audio-analysis/06yfl0iZ4xu2AwV6sQH7eq,189693,4,reggae
07L2prWq7DdgfhI9VzbwhU,Milk And Honey,Dennis Brown,Visions Of Dennis Brown,2011-01-14,False,07L2prWq7DdgfhI9VzbwhU,spotify:track:07L2prWq7DdgfhI9VzbwhU,0.782,0.415,0,-8.333,0,0.0613,0.116,8.03e-05,0.0593,0.877,72.93,audio_features,07L2prWq7DdgfhI9VzbwhU,spotify:track:07L2prWq7DdgfhI9VzbwhU,https://api.spotify.com/v1/tracks/07L2prWq7DdgfhI9VzbwhU,https://api.spotify.com/v1/audio-analysis/07L2prWq7DdgfhI9VzbwhU,168867,4,reggae
07YylKrlZNvKAsXapkIuJu,Psychedelic Kingdom,Seeed,New Dubby Conquerors,2000-11-27,False,07YylKrlZNvKAsXapkIuJu,spotify:track:07YylKrlZNvKAsXapkIuJu,0.884,0.736,8,-7.362,1,0.204,0.0359,0.0,0.325,0.642,125.137,audio_features,07YylKrlZNvKAsXapkIuJu,spotify:track:07YylKrlZNvKAsXapkIuJu,https://api.spotify.com/v1/tracks/07YylKrlZNvKAsXapkIuJu,https://api.spotify.com/v1/audio-analysis/07YylKrlZNvKAsXapkIuJu,253107,4,reggae
